user_id,recency,frequency,monetary,r_score,f_score,m_score,segment
17,2,1,1.9,3,1,1,一般发展客户
20,2,1,5.5,3,1,2,重要发展客户
33,3,3,4.2,2,2,2,重要价值客户
50,0,19,25.9,3,3,3,重要价值客户
105,6,3,4.8,1,2,2,重要保持客户
110,5,1,1.0,1,1,1,一般挽留客户
119,4,3,3.3,2,2,1,一般价值客户
121,8,1,4.9,1,1,2,重要挽留客户
123,1,2,2.6,3,2,1,一般价值客户
126,4,1,1.0,2,1,1,一般发展客户
137,1,1,1.9,3,1,1,一般发展客户
150,1,5,7.1,3,3,2,重要价值客户
165,8,1,1.0,1,1,1,一般挽留客户
168,0,2,2.0,3,2,1,一般价值客户
190,1,7,15.1,3,3,3,重要价值客户
209,1,3,5.4,3,2,2,重要价值客户
225,3,4,6.1,2,3,2,重要价值客户
226,4,3,7.5,2,2,2,重要价值客户
227,0,2,3.5,3,2,1,一般价值客户
240,0,3,3.9,3,2,2,重要价值客户
255,5,2,2.3,1,2,1,一般保持客户
268,4,1,2.5,2,1,1,一般发展客户
275,0,3,3.6,3,2,1,一般价值客户
284,0,7,7.6,3,3,3,重要价值客户
285,6,1,1.6,1,1,1,一般挽留客户
290,2,3,3.0,3,2,1,一般价值客户
298,2,1,1.0,3,1,1,一般发展客户
307,5,2,2.0,1,2,1,一般保持客户
318,3,2,2.3,2,2,1,一般价值客户
321,0,4,5.2,3,3,2,重要价值客户
322,0,10,10.6,3,3,3,重要价值客户
331,1,3,3.3,3,2,1,一般价值客户
339,5,5,7.4,1,3,2,重要保持客户
351,1,3,9.3,3,2,3,重要价值客户
364,5,1,1.3,1,1,1,一般挽留客户
370,4,1,3.1,2,1,1,一般发展客户
371,4,1,1.6,2,1,1,一般发展客户
376,1,4,5.5,3,3,2,重要价值客户
378,0,3,3.6,3,2,1,一般价值客户
385,0,3,5.4,3,2,2,重要价值客户
400,7,4,4.0,1,3,2,重要保持客户
409,7,3,3.9,1,2,2,重要保持客户
410,1,6,6.3,3,3,2,重要价值客户
413,1,4,4.0,3,3,2,重要价值客户
423,0,2,2.0,3,2,1,一般价值客户
428,0,3,3.3,3,2,1,一般价值客户
433,2,3,6.0,3,2,2,重要价值客户
435,0,10,10.0,3,3,3,重要价值客户
468,7,3,3.9,1,2,2,重要保持客户
476,0,11,11.6,3,3,3,重要价值客户
480,0,2,3.8,3,2,2,重要价值客户
484,1,3,10.5,3,2,3,重要价值客户
493,6,1,3.1,1,1,1,一般挽留客户
494,2,3,3.6,3,2,1,一般价值客户
517,0,3,11.1,3,2,3,重要价值客户
523,1,4,6.1,3,3,2,重要价值客户
532,2,3,8.1,3,2,3,重要价值客户
536,1,4,4.9,3,3,2,重要价值客户
561,2,3,3.0,3,2,1,一般价值客户
562,0,1,5.5,3,1,2,重要发展客户
590,0,2,2.0,3,2,1,一般价值客户
597,2,3,14.1,3,2,3,重要价值客户
613,2,1,1.0,3,1,1,一般发展客户
614,7,1,1.0,1,1,1,一般挽留客户
623,0,3,3.9,3,2,2,重要价值客户
627,0,2,2.0,3,2,1,一般价值客户
636,5,2,2.0,1,2,1,一般保持客户
704,0,5,15.5,3,3,3,重要价值客户
721,0,5,5.0,3,3,2,重要价值客户
735,8,4,4.0,1,3,2,重要保持客户
753,1,6,7.5,3,3,2,重要价值客户
755,3,2,2.0,2,2,1,一般价值客户
764,2,3,4.5,3,2,2,重要价值客户
834,0,2,5.3,3,2,2,重要价值客户
843,4,1,3.1,2,1,1,一般发展客户
851,1,2,2.0,3,2,1,一般价值客户
879,3,2,3.2,2,2,1,一般价值客户
880,5,2,2.6,1,2,1,一般保持客户
915,3,1,1.3,2,1,1,一般发展客户
927,1,9,18.0,3,3,3,重要价值客户
931,7,2,2.0,1,2,1,一般保持客户
941,0,2,2.0,3,2,1,一般价值客户
942,4,5,9.8,2,3,3,重要价值客户
947,0,4,4.0,3,3,2,重要价值客户
967,0,3,6.6,3,2,2,重要价值客户
969,0,2,5.9,3,2,2,重要价值客户
974,2,1,1.3,3,1,1,一般发展客户
975,1,7,7.0,3,3,2,重要价值客户
981,8,1,1.0,1,1,1,一般挽留客户
983,0,2,2.0,3,2,1,一般价值客户
1002,2,1,4.3,3,1,2,重要发展客户
1009,1,3,3.0,3,2,1,一般价值客户
1012,4,2,9.5,2,2,3,重要价值客户
1020,7,1,1.0,1,1,1,一般挽留客户
1040,1,2,2.0,3,2,1,一般价值客户
1050,3,4,4.6,2,3,2,重要价值客户
1063,0,1,1.0,3,1,1,一般发展客户
1074,3,1,11.2,2,1,3,重要发展客户
1075,7,1,1.9,1,1,1,一般挽留客户
1081,0,8,11.3,3,3,3,重要价值客户
1095,0,1,1.0,3,1,1,一般发展客户
1098,1,1,2.5,3,1,1,一般发展客户
1105,6,4,5.5,1,3,2,重要保持客户
1118,0,4,4.3,3,3,2,重要价值客户
1139,4,3,3.0,2,2,1,一般价值客户
1144,5,2,6.2,1,2,2,重要保持客户
1146,4,1,1.9,2,1,1,一般发展客户
1149,0,7,23.5,3,3,3,重要价值客户
1153,1,2,6.2,3,2,2,重要价值客户
1156,0,10,16.0,3,3,3,重要价值客户
1158,0,2,2.3,3,2,1,一般价值客户
1167,7,1,1.6,1,1,1,一般挽留客户
1182,0,2,2.0,3,2,1,一般价值客户
1194,2,2,3.8,3,2,2,重要价值客户
1196,0,1,3.1,3,1,1,一般发展客户
1202,1,5,5.6,3,3,2,重要价值客户
1233,0,3,4.2,3,2,2,重要价值客户
1234,6,12,17.7,1,3,3,重要保持客户
1241,5,1,7.0,1,1,2,重要挽留客户
1243,1,3,6.3,3,2,2,重要价值客户
1244,4,1,1.0,2,1,1,一般发展客户
1263,0,2,11.0,3,2,3,重要价值客户
1287,0,2,4.7,3,2,2,重要价值客户
1289,0,6,7.5,3,3,2,重要价值客户
1292,4,1,8.5,2,1,3,重要发展客户
1294,4,1,1.3,2,1,1,一般发展客户
1304,1,6,6.3,3,3,2,重要价值客户
1312,3,3,6.3,2,2,2,重要价值客户
1325,2,2,2.0,3,2,1,一般价值客户
1335,1,10,13.6,3,3,3,重要价值客户
1336,2,1,11.5,3,1,3,重要发展客户
1341,2,2,9.8,3,2,3,重要价值客户
1352,0,1,2.5,3,1,1,一般发展客户
1354,1,5,8.0,3,3,3,重要价值客户
1361,2,2,2.6,3,2,1,一般价值客户
1370,6,1,3.4,1,1,1,一般挽留客户
1371,1,2,2.0,3,2,1,一般价值客户
1381,8,1,1.0,1,1,1,一般挽留客户
1393,2,2,3.2,3,2,1,一般价值客户
1409,1,4,7.0,3,3,2,重要价值客户
1416,2,5,6.8,3,3,2,重要价值客户
1437,0,1,3.1,3,1,1,一般发展客户
1443,3,3,3.0,2,2,1,一般价值客户
1445,0,3,3.6,3,2,1,一般价值客户
1446,8,1,2.5,1,1,1,一般挽留客户
1455,3,3,3.6,2,2,1,一般价值客户
1478,1,9,11.7,3,3,3,重要价值客户
1488,1,11,12.8,3,3,3,重要价值客户
1503,1,5,8.6,3,3,3,重要价值客户
1506,1,2,8.6,3,2,3,重要价值客户
1522,0,1,1.6,3,1,1,一般发展客户
1524,7,1,3.7,1,1,1,一般挽留客户
1532,1,1,4.0,3,1,2,重要发展客户
1538,2,7,8.8,3,3,3,重要价值客户
1551,0,2,2.6,3,2,1,一般价值客户
1559,8,1,1.0,1,1,1,一般挽留客户
1561,2,3,6.6,3,2,2,重要价值客户
1563,5,1,2.8,1,1,1,一般挽留客户
1567,1,5,7.1,3,3,2,重要价值客户
1572,5,2,2.0,1,2,1,一般保持客户
1575,1,1,1.0,3,1,1,一般发展客户
1610,2,3,6.9,3,2,2,重要价值客户
1624,8,1,2.5,1,1,1,一般挽留客户
1636,2,1,1.0,3,1,1,一般发展客户
1642,6,2,4.4,1,2,2,重要保持客户
1649,6,3,4.8,1,2,2,重要保持客户
1658,3,2,3.5,2,2,1,一般价值客户
1664,0,2,3.5,3,2,1,一般价值客户
1671,3,3,3.0,2,2,1,一般价值客户
1673,2,3,6.6,3,2,2,重要价值客户
1679,5,2,13.1,1,2,3,重要保持客户
1691,4,1,4.3,2,1,2,重要发展客户
1697,3,2,2.9,2,2,1,一般价值客户
1702,4,1,1.0,2,1,1,一般发展客户
1714,0,2,5.6,3,2,2,重要价值客户
1731,8,1,3.1,1,1,1,一般挽留客户
1735,6,1,1.9,1,1,1,一般挽留客户
1745,5,2,2.6,1,2,1,一般保持客户
1748,6,1,7.9,1,1,3,重要挽留客户
1777,8,1,1.0,1,1,1,一般挽留客户
1780,5,1,9.4,1,1,3,重要挽留客户
1789,8,1,1.9,1,1,1,一般挽留客户
1794,3,1,1.9,2,1,1,一般发展客户
1795,3,1,2.8,2,1,1,一般发展客户
1807,5,3,3.0,1,2,1,一般保持客户
1817,0,1,4.0,3,1,2,重要发展客户
1825,2,3,5.4,3,2,2,重要价值客户
1850,0,3,4.8,3,2,2,重要价值客户
1854,0,2,2.0,3,2,1,一般价值客户
1857,6,1,1.3,1,1,1,一般挽留客户
1867,8,1,1.3,1,1,1,一般挽留客户
1869,0,2,4.7,3,2,2,重要价值客户
1874,0,9,11.4,3,3,3,重要价值客户
1882,4,4,4.0,2,3,2,重要价值客户
1884,7,3,9.6,1,2,3,重要保持客户
1895,0,1,1.9,3,1,1,一般发展客户
1896,7,1,2.5,1,1,1,一般挽留客户
1898,0,7,13.0,3,3,3,重要价值客户
1913,4,1,7.9,2,1,3,重要发展客户
1921,2,1,1.0,3,1,1,一般发展客户
1931,2,2,3.8,3,2,2,重要价值客户
1974,5,1,4.3,1,1,2,重要挽留客户
1977,2,8,11.6,3,3,3,重要价值客户
1980,2,2,2.3,3,2,1,一般价值客户
1998,3,4,13.6,2,3,3,重要价值客户
2004,1,3,3.0,3,2,1,一般价值客户
2005,2,10,13.6,3,3,3,重要价值客户
2025,0,7,7.0,3,3,2,重要价值客户
2030,4,2,2.0,2,2,1,一般价值客户
2039,7,1,1.3,1,1,1,一般挽留客户
2050,4,3,5.7,2,2,2,重要价值客户
2056,1,3,7.5,3,2,2,重要价值客户
2062,0,5,11.3,3,3,3,重要价值客户
2071,1,3,3.3,3,2,1,一般价值客户
2090,0,2,4.7,3,2,2,重要价值客户
2094,0,6,6.0,3,3,2,重要价值客户
2095,8,2,11.3,1,2,3,重要保持客户
2109,0,2,2.3,3,2,1,一般价值客户
2113,1,1,1.3,3,1,1,一般发展客户
2118,0,5,5.6,3,3,2,重要价值客户
2119,1,3,3.0,3,2,1,一般价值客户
2120,4,3,5.4,2,2,2,重要价值客户
2128,0,3,5.1,3,2,2,重要价值客户
2134,1,2,2.0,3,2,1,一般价值客户
2136,1,3,5.4,3,2,2,重要价值客户
2142,6,2,6.2,1,2,2,重要保持客户
2151,7,3,3.9,1,2,2,重要保持客户
2166,1,10,11.8,3,3,3,重要价值客户
2169,0,2,2.9,3,2,1,一般价值客户
2178,1,2,2.0,3,2,1,一般价值客户
2181,0,19,19.3,3,3,3,重要价值客户
2208,4,3,6.6,2,2,2,重要价值客户
2212,6,1,2.8,1,1,1,一般挽留客户
2213,4,1,1.9,2,1,1,一般发展客户
2217,4,2,2.0,2,2,1,一般价值客户
2228,3,4,4.6,2,3,2,重要价值客户
2236,3,1,2.5,2,1,1,一般发展客户
2237,8,2,2.3,1,2,1,一般保持客户
2256,0,6,6.6,3,3,2,重要价值客户
2259,5,1,1.0,1,1,1,一般挽留客户
2262,0,6,10.5,3,3,3,重要价值客户
2265,6,1,1.3,1,1,1,一般挽留客户
2268,2,3,4.2,3,2,2,重要价值客户
2279,1,1,1.0,3,1,1,一般发展客户
2283,1,1,1.3,3,1,1,一般发展客户
2289,5,1,1.3,1,1,1,一般挽留客户
2293,1,1,1.0,3,1,1,一般发展客户
2304,2,4,6.4,3,3,2,重要价值客户
2306,5,2,3.8,1,2,2,重要保持客户
2343,0,5,8.6,3,3,3,重要价值客户
2353,3,4,4.6,2,3,2,重要价值客户
2355,2,3,8.7,3,2,3,重要价值客户
2363,0,3,3.3,3,2,1,一般价值客户
2372,0,6,6.3,3,3,2,重要价值客户
2377,1,1,2.5,3,1,1,一般发展客户
2381,3,2,2.0,2,2,1,一般价值客户
2382,5,1,5.2,1,1,2,重要挽留客户
2407,7,1,1.0,1,1,1,一般挽留客户
2427,7,1,1.0,1,1,1,一般挽留客户
2428,3,4,10.0,2,3,3,重要价值客户
2446,0,4,6.7,3,3,2,重要价值客户
2448,2,2,2.0,3,2,1,一般价值客户
2450,1,1,1.0,3,1,1,一般发展客户
2460,3,2,6.5,2,2,2,重要价值客户
2469,3,1,1.0,2,1,1,一般发展客户
2476,1,1,2.5,3,1,1,一般发展客户
2491,2,2,2.0,3,2,1,一般价值客户
2492,0,1,2.5,3,1,1,一般发展客户
2496,4,10,11.2,2,3,3,重要价值客户
2527,0,1,2.2,3,1,1,一般发展客户
2546,6,5,5.3,1,3,2,重要保持客户
2559,3,1,1.9,2,1,1,一般发展客户
2560,5,2,2.6,1,2,1,一般保持客户
2567,3,1,1.0,2,1,1,一般发展客户
2571,1,4,6.4,3,3,2,重要价值客户
2577,2,2,2.9,3,2,1,一般价值客户
2594,5,4,5.5,1,3,2,重要保持客户
2601,2,6,12.3,3,3,3,重要价值客户
2613,0,2,3.8,3,2,2,重要价值客户
2614,0,3,4.8,3,2,2,重要价值客户
2622,3,2,3.2,2,2,1,一般价值客户
2627,2,7,14.8,3,3,3,重要价值客户
2643,0,2,4.1,3,2,2,重要价值客户
2644,5,2,2.0,1,2,1,一般保持客户
2645,2,2,3.8,3,2,2,重要价值客户
2649,0,1,2.5,3,1,1,一般发展客户
2650,4,1,5.5,2,1,2,重要发展客户
2651,4,1,1.3,2,1,1,一般发展客户
2652,3,3,9.3,2,2,3,重要价值客户
2656,1,3,3.0,3,2,1,一般价值客户
2660,6,1,1.0,1,1,1,一般挽留客户
2661,2,1,2.8,3,1,1,一般发展客户
2671,6,4,4.0,1,3,2,重要保持客户
2680,4,2,2.9,2,2,1,一般价值客户
2681,5,1,1.0,1,1,1,一般挽留客户
2688,6,3,3.6,1,2,1,一般保持客户
2706,0,3,4.2,3,2,2,重要价值客户
2716,0,2,4.4,3,2,2,重要价值客户
2725,5,3,3.0,1,2,1,一般保持客户
2739,8,3,6.3,1,2,2,重要保持客户
2742,8,1,5.5,1,1,2,重要挽留客户
2752,2,2,2.6,3,2,1,一般价值客户
2753,1,2,3.8,3,2,2,重要价值客户
2758,1,5,5.0,3,3,2,重要价值客户
2761,0,1,1.3,3,1,1,一般发展客户
2770,3,4,7.3,2,3,2,重要价值客户
2784,6,1,11.5,1,1,3,重要挽留客户
2786,0,2,2.6,3,2,1,一般价值客户
2794,7,1,1.9,1,1,1,一般挽留客户
2807,2,3,3.6,3,2,1,一般价值客户
2815,3,1,1.0,2,1,1,一般发展客户
2821,2,3,5.7,3,2,2,重要价值客户
2830,1,4,4.6,3,3,2,重要价值客户
2833,0,2,3.8,3,2,2,重要价值客户
2836,2,3,3.6,3,2,1,一般价值客户
2846,1,2,2.3,3,2,1,一般价值客户
2852,2,5,5.9,3,3,2,重要价值客户
2858,2,2,2.0,3,2,1,一般价值客户
2861,2,5,11.3,3,3,3,重要价值客户
2863,3,1,2.2,2,1,1,一般发展客户
2880,0,4,4.0,3,3,2,重要价值客户
2883,7,1,1.0,1,1,1,一般挽留客户
2886,4,1,4.0,2,1,2,重要发展客户
2905,3,2,3.5,2,2,1,一般价值客户
2912,7,3,4.2,1,2,2,重要保持客户
2915,1,3,4.8,3,2,2,重要价值客户
2927,0,10,13.0,3,3,3,重要价值客户
2933,0,2,4.1,3,2,2,重要价值客户
2939,8,1,2.5,1,1,1,一般挽留客户
2951,2,1,2.5,3,1,1,一般发展客户
2955,0,2,9.8,3,2,3,重要价值客户
2961,0,5,9.2,3,3,3,重要价值客户
2963,5,2,2.6,1,2,1,一般保持客户
2969,1,3,3.3,3,2,1,一般价值客户
2970,5,7,9.4,1,3,3,重要保持客户
2975,0,3,6.0,3,2,2,重要价值客户
2976,1,3,3.6,3,2,1,一般价值客户
2986,0,4,11.2,3,3,3,重要价值客户
2987,2,1,3.1,3,1,1,一般发展客户
2992,5,5,8.9,1,3,3,重要保持客户
2993,6,1,3.4,1,1,1,一般挽留客户
2999,5,5,8.9,1,3,3,重要保持客户
3001,1,1,1.9,3,1,1,一般发展客户
3004,2,1,8.8,3,1,3,重要发展客户
3022,1,3,4.5,3,2,2,重要价值客户
3029,6,1,1.3,1,1,1,一般挽留客户
3032,4,1,1.0,2,1,1,一般发展客户
3049,8,1,5.8,1,1,2,重要挽留客户
3052,7,2,2.0,1,2,1,一般保持客户
3058,2,1,4.6,3,1,2,重要发展客户
3078,5,1,1.9,1,1,1,一般挽留客户
3081,6,1,1.0,1,1,1,一般挽留客户
3094,3,2,2.3,2,2,1,一般价值客户
3109,7,1,3.1,1,1,1,一般挽留客户
3137,0,2,5.6,3,2,2,重要价值客户
3138,1,1,3.7,3,1,1,一般发展客户
3141,7,1,1.0,1,1,1,一般挽留客户
3156,1,5,9.5,3,3,3,重要价值客户
3162,0,3,3.6,3,2,1,一般价值客户
3172,1,4,13.0,3,3,3,重要价值客户
3174,7,3,6.3,1,2,2,重要保持客户
3175,4,2,2.0,2,2,1,一般价值客户
3187,0,2,3.2,3,2,1,一般价值客户
3188,4,1,1.6,2,1,1,一般发展客户
3189,4,8,9.8,2,3,3,重要价值客户
3203,3,1,6.4,2,1,2,重要发展客户
3209,2,5,5.3,3,3,2,重要价值客户
3217,0,1,3.4,3,1,1,一般发展客户
3218,6,1,1.0,1,1,1,一般挽留客户
3233,3,1,1.0,2,1,1,一般发展客户
3255,0,7,9.1,3,3,3,重要价值客户
3269,5,1,2.5,1,1,1,一般挽留客户
3276,1,1,7.3,3,1,2,重要发展客户
3277,3,4,4.9,2,3,2,重要价值客户
3279,5,2,2.3,1,2,1,一般保持客户
3285,7,1,4.0,1,1,2,重要挽留客户
3289,0,7,8.2,3,3,3,重要价值客户
3291,0,1,1.9,3,1,1,一般发展客户
3293,4,4,10.3,2,3,3,重要价值客户
3300,1,4,7.3,3,3,2,重要价值客户
3303,0,6,6.6,3,3,2,重要价值客户
3305,2,2,2.9,3,2,1,一般价值客户
3327,0,1,4.3,3,1,2,重要发展客户
3334,4,1,1.0,2,1,1,一般发展客户
3344,2,2,5.0,3,2,2,重要价值客户
3347,1,5,5.0,3,3,2,重要价值客户
3357,4,1,3.1,2,1,1,一般发展客户
3371,7,2,17.9,1,2,3,重要保持客户
3382,0,3,3.9,3,2,2,重要价值客户
3410,0,2,7.4,3,2,2,重要价值客户
3433,0,4,4.0,3,3,2,重要价值客户
3441,0,5,9.2,3,3,3,重要价值客户
3447,0,6,10.5,3,3,3,重要价值客户
3460,2,3,3.3,3,2,1,一般价值客户
3467,0,13,17.2,3,3,3,重要价值客户
3476,1,2,3.8,3,2,2,重要价值客户
3477,3,1,2.2,2,1,1,一般发展客户
3499,0,3,3.3,3,2,1,一般价值客户
3500,4,2,2.6,2,2,1,一般价值客户
3507,0,1,1.0,3,1,1,一般发展客户
3514,4,2,2.0,2,2,1,一般价值客户
3517,8,1,2.2,1,1,1,一般挽留客户
3520,3,1,1.6,2,1,1,一般发展客户
3545,1,1,7.0,3,1,2,重要发展客户
3565,3,2,3.8,2,2,2,重要价值客户
3571,0,2,3.8,3,2,2,重要价值客户
3573,1,1,1.0,3,1,1,一般发展客户
3574,5,1,2.5,1,1,1,一般挽留客户
3588,3,1,1.3,2,1,1,一般发展客户
3600,0,1,1.9,3,1,1,一般发展客户
3609,4,1,1.3,2,1,1,一般发展客户
3624,3,3,7.2,2,2,2,重要价值客户
3629,0,3,7.5,3,2,2,重要价值客户
3635,6,1,1.0,1,1,1,一般挽留客户
3641,1,1,1.3,3,1,1,一般发展客户
3644,0,1,2.2,3,1,1,一般发展客户
3657,0,2,3.5,3,2,1,一般价值客户
3671,0,5,6.5,3,3,2,重要价值客户
3676,8,1,3.1,1,1,1,一般挽留客户
3681,1,1,1.3,3,1,1,一般发展客户
3684,2,4,5.2,3,3,2,重要价值客户
3697,1,1,1.3,3,1,1,一般发展客户
3702,0,2,8.0,3,2,3,重要价值客户
3717,1,1,1.6,3,1,1,一般发展客户
3720,0,7,14.2,3,3,3,重要价值客户
3724,0,6,6.9,3,3,2,重要价值客户
3729,1,2,3.8,3,2,2,重要价值客户
3733,1,3,7.2,3,2,2,重要价值客户
3735,0,10,10.0,3,3,3,重要价值客户
3738,3,2,2.6,2,2,1,一般价值客户
3753,1,1,1.6,3,1,1,一般发展客户
3755,7,1,4.6,1,1,2,重要挽留客户
3762,1,2,6.2,3,2,2,重要价值客户
3778,1,2,2.0,3,2,1,一般价值客户
3830,0,3,4.5,3,2,2,重要价值客户
3840,2,2,6.2,3,2,2,重要价值客户
3861,3,1,1.0,2,1,1,一般发展客户
3867,7,1,1.3,1,1,1,一般挽留客户
3873,3,2,2.0,2,2,1,一般价值客户
3874,6,1,1.6,1,1,1,一般挽留客户
3876,4,5,9.2,2,3,3,重要价值客户
3878,6,4,8.5,1,3,3,重要保持客户
3894,0,1,2.8,3,1,1,一般发展客户
3899,2,2,2.0,3,2,1,一般价值客户
3900,0,2,2.0,3,2,1,一般价值客户
3934,0,1,1.6,3,1,1,一般发展客户
3940,4,1,1.0,2,1,1,一般发展客户
3948,0,1,3.4,3,1,1,一般发展客户
3955,4,2,2.0,2,2,1,一般价值客户
3968,7,2,4.7,1,2,2,重要保持客户
3974,1,4,8.2,3,3,3,重要价值客户
3989,0,5,8.3,3,3,3,重要价值客户
3999,0,1,1.3,3,1,1,一般发展客户
4006,4,1,3.4,2,1,1,一般发展客户
4022,5,1,1.6,1,1,1,一般挽留客户
4037,0,3,6.3,3,2,2,重要价值客户
4050,0,1,7.3,3,1,2,重要发展客户
4060,1,1,1.6,3,1,1,一般发展客户
4078,1,10,13.6,3,3,3,重要价值客户
4079,0,3,9.0,3,2,3,重要价值客户
4086,7,3,3.3,1,2,1,一般保持客户
4092,1,4,4.9,3,3,2,重要价值客户
4099,4,1,1.0,2,1,1,一般发展客户
4102,0,1,2.2,3,1,1,一般发展客户
4111,0,3,3.9,3,2,2,重要价值客户
4112,0,3,3.0,3,2,1,一般价值客户
4128,7,1,4.3,1,1,2,重要挽留客户
4129,6,1,1.9,1,1,1,一般挽留客户
4134,1,3,6.0,3,2,2,重要价值客户
4138,0,2,2.9,3,2,1,一般价值客户
4143,2,3,3.3,3,2,1,一般价值客户
4145,4,1,4.3,2,1,2,重要发展客户
4149,4,1,2.5,2,1,1,一般发展客户
4151,6,1,1.0,1,1,1,一般挽留客户
4156,8,2,2.6,1,2,1,一般保持客户
4166,1,1,1.3,3,1,1,一般发展客户
4170,0,1,1.0,3,1,1,一般发展客户
4175,0,1,1.0,3,1,1,一般发展客户
4185,7,1,1.3,1,1,1,一般挽留客户
4196,6,1,14.2,1,1,3,重要挽留客户
4224,3,2,2.0,2,2,1,一般价值客户
4234,1,1,1.9,3,1,1,一般发展客户
4239,0,3,3.6,3,2,1,一般价值客户
4242,4,3,4.5,2,2,2,重要价值客户
4262,1,5,5.3,3,3,2,重要价值客户
4263,1,1,1.0,3,1,1,一般发展客户
4274,7,2,7.1,1,2,2,重要保持客户
4281,0,6,7.2,3,3,2,重要价值客户
4291,0,3,3.6,3,2,1,一般价值客户
4292,3,1,1.3,2,1,1,一般发展客户
4308,5,3,4.2,1,2,2,重要保持客户
4317,3,2,8.0,2,2,3,重要价值客户
4326,7,1,1.9,1,1,1,一般挽留客户
4330,4,1,4.9,2,1,2,重要发展客户
4355,1,2,3.2,3,2,1,一般价值客户
4382,0,5,5.3,3,3,2,重要价值客户
4391,4,1,1.6,2,1,1,一般发展客户
4401,2,1,1.3,3,1,1,一般发展客户
4405,1,1,3.4,3,1,1,一般发展客户
4412,2,3,4.8,3,2,2,重要价值客户
